cod_istat,categoria,anno_min,anno_max,Nome_Comune,sigle_prov
013208,solo_pre_2011,2000,2001,SANT'ABBONDIO,CO
013210,solo_pre_2011,2000,2001,SANTA MARIA R,CO
017566,solo_pre_2011,2000,2007,LONATO,BS
022014,solo_pre_2011,2000,2007,BEZZECCA,TN
022016,solo_pre_2011,2000,2007,BLEGGIO INFERIORE,TN
022065,solo_pre_2011,2000,2007,CONCEI,TN
022107,solo_pre_2011,2000,2008,LOMASO,TN
022119,solo_pre_2011,2000,2008,MOLINA DI LEDRO,TN
022141,solo_pre_2011,2000,2007,PIEVE DI LEDRO,TN
022197,solo_pre_2011,2000,2007,TIARNO DI SOPRA,TN
022198,solo_pre_2011,2000,2007,TIARNO DI SOTTO,TN
030017,solo_pre_2011,2000,2007,CAMPOLONGO AL TORRE,UD
030115,solo_pre_2011,2000,2007,TAPOGLIANO,UD
013249,misto,2010,2023,GRAVEDONA ED UNITI,CO
001316,solo_post_2011,2012,2023,MAPPANO,TO
025070,solo_post_2011,2012,2022,QUERO VAS,BL
030188,solo_post_2011,2012,2023,RIVIGNANO TEOR,UD
034049,solo_post_2011,2012,2023,SISSA TRECASALI,PR
037061,solo_post_2011,2012,2023,VALSAMOGGIA,BO
038027,solo_post_2011,2012,2023,FISCAGLIA,FE
041068,solo_post_2011,2012,2023,VALLEFOGLIA,PU
042050,solo_post_2011,2012,2023,TRECASTELLI,AN
046036,solo_post_2011,2012,2023,FABBRICHE DI VERGEMOLI,LU
048052,solo_post_2011,2012,2023,FIGLINE E INCISA VALDARNO,FI
048053,solo_post_2011,2012,2023,SCARPERIA E SAN PIERO,FI
050040,solo_post_2011,2012,2023,CASCIANA TERME LARI,PI
050041,solo_post_2011,2012,2023,CRESPINA LORENZANA,PI
051040,solo_post_2011,2012,2023,CASTELFRANCO PIANDISCO',AR
051041,solo_post_2011,2012,2023,PRATOVECCHIO STIA,AR
064121,solo_post_2011,2012,2023,MONTORO,AV
099028,solo_post_2011,2012,2023,POGGIO TORRIANA,RN
012142,solo_post_2011,2013,2023,MACCAGNO CON PINO E VEDDASCA,VA
013250,solo_post_2011,2013,2023,BELLAGIO,CO
013251,solo_post_2011,2013,2023,COLVERDE,CO
013252,solo_post_2011,2013,2023,TREMEZZINA,CO
016252,solo_post_2011,2013,2023,SANT'OMOBONO TERME,BG
016253,solo_post_2011,2013,2023,VAL BREMBILLA,BG
018191,solo_post_2011,2013,2023,CORNALE E BASTIDA,PV
020071,solo_post_2011,2013,2023,BORGO VIRGILIO,MN
025071,solo_post_2011,2013,2023,LONGARONE,BL
097091,solo_post_2011,2013,2023,VERDERIO,LC
022230,solo_post_2011,2014,2023,PREDAIA,TN
022231,solo_post_2011,2014,2023,SAN LORENZO DORSINO,TN
022232,solo_post_2011,2014,2023,VALDAONE,TN
046037,solo_post_2011,2014,2023,SILLANO GIUNCUGNANO,LU
093053,solo_post_2011,2014,2023,VALVASONE ARZENE,PN
097092,solo_post_2011,2014,2023,LA VALLETTA BRIANZA,LC
018192,solo_post_2011,2015,2023,CORTEOLONA E GENZONE,PV
022233,solo_post_2011,2015,2023,DIMARO FOLGARIDA,TN
022234,solo_post_2011,2015,2023,PIEVE DI BONO-PREZZO,TN
022235,solo_post_2011,2015,2023,ALTAVALLE,TN
022236,solo_post_2011,2015,2023,ALTOPIANO DELLA VIGOLANA,TN
022237,solo_post_2011,2015,2023,AMBLAR-DON,TN
022238,solo_post_2011,2015,2023,BORGO CHIESE,TN
022239,solo_post_2011,2015,2023,BORGO LARES,TN
022240,solo_post_2011,2015,2023,CASTEL IVANO,TN
022241,solo_post_2011,2015,2023,CEMBRA LISIGNAGO,TN
022242,solo_post_2011,2015,2023,CONTA',TN
022243,solo_post_2011,2015,2023,MADRUZZO,TN
022244,solo_post_2011,2015,2023,PORTE DI RENDENA,TN
022245,solo_post_2011,2015,2023,PRIMIERO SAN MARTINO DI CASTROZZA,TN
022246,solo_post_2011,2015,2023,SELLA GIUDICARIE,TN
022247,solo_post_2011,2015,2023,TRE VILLE,TN
022248,solo_post_2011,2015,2023,VALLELAGHI,TN
022249,solo_post_2011,2015,2023,VILLE D'ANAUNIA,TN
025072,solo_post_2011,2015,2023,ALPAGO,BL
025073,solo_post_2011,2015,2023,VAL DI ZOLDO,BL
034050,solo_post_2011,2015,2023,POLESINE ZIBELLO,PR
035046,solo_post_2011,2015,2023,VENTASSO,RE
037062,solo_post_2011,2015,2023,ALTO RENO TERME,BO
096085,solo_post_2011,2015,2023,LESSONA,BI
096086,solo_post_2011,2015,2023,CAMPIGLIA CERVO,BI
099029,solo_post_2011,2015,2023,MONTESCUDO-MONTE COLOMBO,RN
103078,solo_post_2011,2015,2023,BORGOMEZZAVALLE,VB
013253,solo_post_2011,2016,2023,ALTA VALLE INTELVI,CO
024123,solo_post_2011,2016,2023,VAL LIONA,VI
038028,solo_post_2011,2016,2023,TERRE DEL RENO,FE
041069,solo_post_2011,2016,2023,COLLI AL METAURO,PU
041070,solo_post_2011,2016,2023,TERRE ROVERESCHE,PU
043058,solo_post_2011,2016,2023,VALFORNACE,MC
047023,solo_post_2011,2016,2023,ABETONE CUTIGLIANO,PT
047024,solo_post_2011,2016,2023,SAN MARCELLO PITEGLIO,PT
052037,solo_post_2011,2016,2023,MONTALCINO,SI
078156,solo_post_2011,2016,2023,CASALI DEL MANCO,CS
002170,solo_post_2011,2017,2023,ALTO SERMENZA,VC
002171,solo_post_2011,2017,2023,CELLIO CON BREIA,VC
006191,solo_post_2011,2017,2023,CASSANO SPINOLA,AL
006192,solo_post_2011,2017,2023,ALLUVIONI PIOVERA,AL
008068,solo_post_2011,2017,2023,MONTALTO CARPASIO,IM
013254,solo_post_2011,2017,2023,CENTRO VALLE INTELVI,CO
020072,solo_post_2011,2017,2023,BORGO MANTOVANO,MN
022250,solo_post_2011,2017,2023,SEN JAN DI FASSA,TN
024124,solo_post_2011,2017,2023,BARBARANO MOSSANO,VI
028107,solo_post_2011,2017,2023,BORGO VENETO,PD
030190,solo_post_2011,2017,2023,FIUMICELLO VILLA VICENTINA,UD
030191,solo_post_2011,2017,2023,TREPPO LIGOSULLO,UD
033049,solo_post_2011,2017,2023,ALTA VAL TIDONE,PC
049021,solo_post_2011,2017,2023,RIO,LI
051042,solo_post_2011,2017,2023,LATERINA PERGINE VALDARNO,AR
078157,solo_post_2011,2017,2023,CORIGLIANO-ROSSANO,CS
097093,solo_post_2011,2017,2023,VALVARRONE,LC
098062,solo_post_2011,2017,2023,CASTELGERUNDO,LO
001317,solo_post_2011,2018,2023,VAL DI CHY,TO
001318,solo_post_2011,2018,2023,VALCHIUSA,TO
003166,solo_post_2011,2018,2023,GATTICO-VERUNO,NO
006193,solo_post_2011,2018,2023,LU E CUCCARO MONFERRATO,AL
012143,solo_post_2011,2018,2023,CADREZZATE CON OSMATE,VA
013255,solo_post_2011,2018,2023,SOLBIATE CON CAGNO,CO
015251,solo_post_2011,2018,2023,VERMEZZO CON ZELO,MI
018193,solo_post_2011,2018,2023,COLLI VERDI,PV
019116,solo_post_2011,2018,2023,PIADENA DRIZZONA,CR
020073,solo_post_2011,2018,2023,BORGOCARBONARA,MN
022251,solo_post_2011,2018,2023,TERRE D'ADIGE,TN
024125,solo_post_2011,2018,2023,VALBRENTA,VI
024126,solo_post_2011,2018,2023,COLCERESA,VI
024127,solo_post_2011,2018,2023,LUSIANA CONCO,VI
025074,solo_post_2011,2018,2023,BORGO VALBELLUNA,BL
026096,solo_post_2011,2018,2023,PIEVE DEL GRAPPA,TV
034051,solo_post_2011,2018,2023,SORBOLO MEZZANI,PR
038029,solo_post_2011,2018,2023,RIVA DEL PO,FE
038030,solo_post_2011,2018,2023,TRESIGNANA,FE
041071,solo_post_2011,2018,2023,SASSOCORVARO AUDITORE,PU
048054,solo_post_2011,2018,2023,BARBERINO TAVARNELLE,FI
075098,solo_post_2011,2018,2023,PRESICCE-ACQUARICA,LE
096087,solo_post_2011,2018,2023,QUAREGNA CERRETO,BI
096088,solo_post_2011,2018,2023,VALDILANA,BI
103079,solo_post_2011,2018,2023,VALLE CANNOBINA,VB
022252,solo_post_2011,2019,2023,BORGO D'ANAUNIA,TN
022253,solo_post_2011,2019,2023,NOVELLA,TN
022254,solo_post_2011,2019,2023,VILLE DI FIEMME,TN
081025,solo_post_2011,2021,2023,MISILISCEMI,TP
005122,solo_post_2011,2022,2023,MORANSENGO-TONENGO,AT
012144,solo_post_2011,2022,2023,BARDELLO CON MALGESSO E BREGANO,VA
013256,solo_post_2011,2023,2023,UGGIATE CON RONAGO,CO
024128,solo_post_2011,2023,2023,SOVIZZO,VI
025075,solo_post_2011,2023,2023,SETTEVILLE,BL
028108,solo_post_2011,2023,2023,SANTA CATERINA D'ESTE,PD
